Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-03-13,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-03-13,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-03-13,Eligible
4,--,Zach Wilson,BYU,QB,6'3'',210,JR,2021-03-13,Eligible
5,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-03-13,Eligible
6,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-03-13,Eligible
7,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-03-13,Eligible
8,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-03-13,Eligible
9,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-03-13,Eligible
10,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-03-13,Eligible
11,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-03-13,Eligible
12,+1,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-03-13,Eligible
13,--,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-03-13,Eligible
14,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-03-13,Eligible
15,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-03-13,Eligible
16,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-03-13,Eligible
17,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-03-13,Eligible
18,--,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-03-13,Eligible
19,--,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-03-13,Eligible
20,+2,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-03-13,Eligible
21,+2,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-03-13,Eligible
22,+2,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-03-13,Eligible
23,--,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-03-13,Eligible
24,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-03-13,Eligible
25,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-03-13,Eligible
26,--,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-03-13,Eligible
27,--,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-03-13,Eligible
28,+20,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-03-13,Eligible
29,--,Richie Grant,UCF,S,"6'0""",194,RSR,2021-03-13,Eligible
30,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-03-13,Eligible
31,--,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-03-13,Eligible
32,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-03-13,Eligible
33,+4,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-03-13,Eligible
34,--,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-03-13,Eligible
35,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-03-13,Eligible
36,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-03-13,Eligible
37,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-03-13,Eligible
38,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-03-13,Eligible
39,--,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-03-13,Eligible
40,--,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-03-13,Eligible
41,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-03-13,Eligible
42,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-03-13,Eligible
43,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-03-13,Eligible
44,--,Jay Tufele,USC,DL3T,"6'2""",310,RJR,2021-03-13,Eligible
45,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-03-13,Eligible
46,--,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-03-13,Eligible
47,--,Marvin Wilson,Florida State,DL1T,"6'3""",319,SR,2021-03-13,Eligible
48,--,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2021-03-13,Eligible
49,--,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-03-13,Eligible
50,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-03-13,Eligible
51,--,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-03-13,Eligible
52,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-03-13,Eligible
53,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-03-13,Eligible
54,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-03-13,Eligible
55,--,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-03-13,Eligible
56,--,Elijah Molden,Washington,CB,"5'10""",186,SR,2021-03-13,Eligible
57,--,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-03-13,Eligible
58,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-03-13,Eligible
59,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-03-13,Eligible
60,--,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2021-03-13,Eligible
61,--,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-03-13,Eligible
62,--,Shakur Brown,Michigan State,CB,"5'11""",190,RJR,2021-03-13,Eligible
63,--,Alim McNeill,NC State,DL3T,"6'2""",320,JR,2021-03-13,Eligible
64,--,Hamsah Nasirildeen,Florida State,S,"6'4""",215,SR,2021-03-13,Eligible
65,--,Shaun Wade,Ohio State,CB,"6'1""",194,RJR,2021-03-13,Eligible
66,--,Kenneth Gainwell,Memphis,RB,"5'11""",191,RSO,2021-03-13,Eligible
67,--,Patrick Jones II,Pitt,EDGE,"6'5""",260,RSR,2021-03-13,Eligible
68,--,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-03-13,Eligible
69,--,Cameron McGrone,Michigan,OLB,6'1'',232,RSO,2021-03-13,Eligible
70,--,Darius Stills,West Virginia,DL5T,"6'1""",285,SR,2021-03-13,Eligible
71,--,Jackson Carman,Clemson,OT,"6'5""",335,JR,2021-03-13,Eligible
72,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-03-13,Eligible
73,--,Ifeatu Melifonwu,Syracuse,CB,"6'3""",212,RJR,2021-03-13,Eligible
74,--,Talanoa Hufanga,USC,S,"6'1""",215,JR,2021-03-13,Eligible
75,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-03-13,Eligible
76,+30,Quinn Meinerz,UW–Whitewater,OC,"6'3""",320,SR,2021-03-13,Eligible
77,--,Josh Myers,Ohio State,OC,6'5'',312,RJR,2021-03-13,Eligible
78,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-03-13,Eligible
79,--,Trey Sermon,Ohio State,RB,"6'0""",224,SR,2021-03-13,Eligible
80,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2021-03-13,Eligible
81,--,D'Wayne Eskridge,Western Michigan,WRS,"5'9""",188,SR,2021-03-13,Eligible
82,--,Michael Carter,North Carolina,RBC,"5'9""",195,SR,2021-03-13,Eligible
83,+5,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-03-13,Eligible
84,--,Paris Ford,Pitt,S,"6'0""",190,RJR,2021-03-13,Eligible
85,--,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2021-03-13,Eligible
86,--,Brevin Jordan,Miami (FL),TE,"6'3""",245,JR,2021-03-13,Eligible
87,--,Walker Little,Stanford,OT,"6'7""",313,SR,2021-03-13,Eligible
88,--,Hamilcar Rashed,Oregon State,EDGE,6'3'',248,RSR,2021-03-13,Eligible
89,--,Chuba Hubbard,Oklahoma State,RB,"6'1""",207,RJR,2021-03-13,Eligible
90,--,Quincy Roche,Miami (FL),EDGE,"6'4""",235,RSR,2021-03-13,Eligible
91,--,Anthony Schwartz,Auburn,WR,"6'0""",197,JR,2021-03-13,Eligible
92,--,Jamie Newman,Georgia,QB,"6'4""",230,RSR,2021-03-13,Eligible
93,--,Jaelon Darden,North Texas,WRS,"5'9""",174,SR,2021-03-13,Eligible
94,--,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2021-03-13,Eligible
95,--,Teven Jenkins,Oklahoma State,OT,6'6'',320,RSR,2021-03-13,Eligible
96,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-03-13,Eligible
97,-15,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2021-03-13,Eligible
98,--,Tutu Atwell,Louisville,WRS,"5'9""",156,JR,2021-03-13,Eligible
99,--,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2021-03-13,Eligible
100,--,Ronnie Perkins,Oklahoma,OLB,6'4',230,JR,2021-03-13,Eligible
101,--,Dazz Newsome,North Carolina,WR,"5'11""",175,SR,2021-03-13,Eligible
102,--,Deonte Brown,Alabama,OG,6'4'',350,RSR,2021-03-13,Eligible
103,--,Paulson Adebo,Stanford,CB,"6'1""",190,SR,2021-03-13,Eligible
104,--,Richard LeCounte III,Georgia,S,"5'11""",190,SR,2021-03-13,Eligible
105,--,Damonte Coxie,Memphis,WR,6'3'',197,SR,2021-03-13,Eligible
106,--,Aaron Robinson,UCF,CB,5'11'',193,RSR,2021-03-13,Eligible
107,--,Jaret Patterson,Buffalo,RB,"5'9""",195,JR,2021-03-13,Eligible
108,--,Drake Jackson,Kentucky,OC,6'2'',292,RSR,2021-03-13,Eligible
