School,Conference,2020ScheduledFallGames
Air Force,American,1.0
Air Force,MWC,6.0
Air Force,Ind,1.0
Akron,MAC,6.0
Alabama,SEC,10.0
Appalachian State,CUSA,2.0
Appalachian State,Non-Major,1.0
Appalachian State,Sun Belt,8.0
Arizona,Pac-12,6.0
Arizona State,Pac-12,6.0
Arkansas,SEC,10.0
Arkansas State,American,1.0
Arkansas State,Big 12,1.0
Arkansas State,Sun Belt,9.0
Arkansas State,Non-Major,1.0
Army,CUSA,2.0
Army,Sun Belt,2.0
Army,American,3.0
Army,Non-Major,3.0
Army,MWC,1.0
Army,Ind,0.0
Auburn,SEC,10.0
Ball State,MAC,6.0
Baylor,Big 12,9.0
Boise State,MWC,7.0
Boise State,Ind,1.0
Boston College,ACC,10.0
Boston College,Sun Belt,1.0
Bowling Green State,MAC,6.0
Buffalo,MAC,6.0
BYU,American,2.0
BYU,Sun Belt,2.0
BYU,CUSA,3.0
BYU,MWC,1.0
BYU,Ind,0.0
California,Pac-12,6.0
Central Michigan,MAC,6.0
Charlotte,Sun Belt,1.0
Charlotte,CUSA,7.0
Charlotte,ACC,1.0
Cincinnati,Non-Major,1.0
Cincinnati,Ind,1.0
Cincinnati,American,9.0
Clemson,ACC,10.0
Clemson,Non-Major,1.0
Coastal Carolina,Big 12,1.0
Coastal Carolina,Non-Major,1.0
Coastal Carolina,Sun Belt,10.0
Coastal Carolina,Ind,1.0
Colorado,Pac-12,6.0
Colorado State,MWC,8.0
Connecticut,American,0.0
Duke,ACC,11.0
Duke,CUSA,1.0
East Carolina,American,9.0
East Carolina,Sun Belt,1.0
Eastern Michigan,MAC,6.0
Florida,SEC,10.0
Florida Atlantic,CUSA,8.0
Florida International,Ind,1.0
Florida International,CUSA,9.0
Florida State,ACC,10.0
Florida State,Non-Major,1.0
Fresno State,MWC,8.0
Georgia,SEC,10.0
Georgia Southern,Non-Major,1.0
Georgia Southern,Sun Belt,9.0
Georgia Southern,Ind,2.0
Georgia State,Sun Belt,8.0
Georgia State,American,1.0
Georgia Tech,ACC,10.0
Georgia Tech,American,1.0
Hawaii,MWC,8.0
Houston,American,7.0
Houston,Ind,1.0
Illinois,Big Ten,8.0
Indiana,Big Ten,8.0
Iowa,Big Ten,8.0
Iowa State,Sun Belt,1.0
Iowa State,Big 12,10.0
Kansas,Sun Belt,1.0
Kansas,Big 12,9.0
Kansas State,Sun Belt,1.0
Kansas State,Big 12,9.0
Kent State,MAC,6.0
Kentucky,SEC,10.0
Liberty,CUSA,3.0
Liberty,Non-Major,2.0
Liberty,Sun Belt,2.0
Liberty,ACC,3.0
Liberty,Ind,0.0
Louisiana,Big 12,1.0
Louisiana,Sun Belt,9.0
Louisiana,CUSA,1.0
Louisiana,Non-Major,1.0
Louisiana Tech,CUSA,8.0
Louisiana Tech,Non-Major,1.0
