,School,Conference,has2020SheduledGames
0,Air Force,MWC,1.0
1,Akron,MAC,1.0
2,Alabama,SEC,1.0
3,Appalachian State,Sun Belt,1.0
4,Arizona,Pac-12,1.0
5,Arizona State,Pac-12,1.0
6,Arkansas,SEC,1.0
7,Arkansas State,Sun Belt,1.0
8,Army,Ind,0.0
9,Auburn,SEC,1.0
10,Ball State,MAC,1.0
11,Baylor,Big 12,1.0
12,Boise State,MWC,1.0
13,Boston College,ACC,1.0
14,Bowling Green State,MAC,1.0
15,Buffalo,MAC,1.0
16,BYU,Ind,0.0
17,California,Pac-12,1.0
18,Central Michigan,MAC,1.0
19,Charlotte,CUSA,1.0
20,Cincinnati,American,1.0
21,Clemson,ACC,1.0
22,Coastal Carolina,Sun Belt,1.0
23,Colorado,Pac-12,1.0
24,Colorado State,MWC,1.0
25,Connecticut,American,0.0
26,Duke,ACC,1.0
27,East Carolina,American,1.0
28,Eastern Michigan,MAC,1.0
29,Florida,SEC,1.0
30,Florida Atlantic,CUSA,1.0
31,Florida International,CUSA,1.0
32,Florida State,ACC,1.0
33,Fresno State,MWC,1.0
34,Georgia,SEC,1.0
35,Georgia Southern,Sun Belt,1.0
36,Georgia State,Sun Belt,1.0
37,Georgia Tech,ACC,1.0
38,Hawaii,MWC,1.0
39,Houston,American,1.0
40,Illinois,Big Ten,1.0
41,Indiana,Big Ten,1.0
42,Iowa,Big Ten,1.0
43,Iowa State,Big 12,1.0
44,Kansas,Big 12,1.0
45,Kansas State,Big 12,1.0
46,Kent State,MAC,1.0
47,Kentucky,SEC,1.0
48,Liberty,Ind,0.0
49,Louisiana,Sun Belt,1.0
50,Louisiana Tech,CUSA,1.0
51,Louisiana-Monroe,Sun Belt,1.0
52,Louisville,ACC,1.0
53,LSU,SEC,1.0
54,Marshall,CUSA,1.0
55,Maryland,Big Ten,1.0
56,Massachusetts,Ind,0.0
57,Memphis,American,1.0
58,Miami (FL),ACC,1.0
59,Miami (OH),MAC,1.0
60,Michigan,Big Ten,1.0
61,Michigan State,Big Ten,1.0
62,Middle Tennessee State,CUSA,1.0
63,Minnesota,Big Ten,1.0
64,Mississippi State,SEC,1.0
65,Missouri,SEC,1.0
66,Navy,American,1.0
67,Nebraska,Big Ten,1.0
68,Nevada,MWC,1.0
69,Nevada-Las Vegas,MWC,1.0
70,New Mexico,MWC,1.0
71,New Mexico State,Ind,0.0
72,North Carolina,ACC,1.0
73,North Carolina State,ACC,1.0
74,North Texas,CUSA,1.0
75,Northern Illinois,MAC,1.0
76,Northwestern,Big Ten,1.0
77,Notre Dame,ACC,1.0
78,Ohio,MAC,1.0
79,Ohio State,Big Ten,1.0
80,Oklahoma,Big 12,1.0
81,Oklahoma State,Big 12,1.0
82,Old Dominion,CUSA,0.0
83,Ole Miss,SEC,1.0
84,Oregon,Pac-12,1.0
85,Oregon State,Pac-12,1.0
86,Penn State,Big Ten,1.0
87,Pitt,ACC,1.0
88,Purdue,Big Ten,1.0
89,Rice,CUSA,1.0
90,Rutgers,Big Ten,1.0
91,San Diego State,MWC,1.0
92,San Jose State,MWC,1.0
93,SMU,American,1.0
94,South Alabama,Sun Belt,1.0
95,South Carolina,SEC,1.0
96,South Florida,American,1.0
97,Southern Mississippi,CUSA,1.0
98,Stanford,Pac-12,1.0
99,Syracuse,ACC,1.0
100,Temple,American,1.0
101,Tennessee,SEC,1.0
102,Texas,Big 12,1.0
103,Texas A&M,SEC,1.0
104,Texas Christian,Big 12,1.0
105,Texas State,Sun Belt,1.0
106,Texas Tech,Big 12,1.0
107,Toledo,MAC,1.0
108,Troy,Sun Belt,1.0
109,Tulane,American,1.0
110,Tulsa,American,1.0
111,UAB,CUSA,1.0
112,UCF,American,1.0
113,UCLA,Pac-12,1.0
114,USC,Pac-12,1.0
115,Utah,Pac-12,1.0
116,Utah State,MWC,1.0
117,UTEP,CUSA,1.0
118,UTSA,CUSA,1.0
119,Vanderbilt,SEC,1.0
120,Virginia,ACC,1.0
121,Virginia Tech,ACC,1.0
122,Wake Forest,ACC,1.0
123,Washington,Pac-12,1.0
124,Washington State,Pac-12,1.0
125,West Virginia,Big 12,1.0
126,Western Kentucky,CUSA,1.0
127,Western Michigan,MAC,1.0
128,Wisconsin,Big Ten,1.0
129,Wyoming,MWC,1.0
