Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-02-10,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-02-10,Utah
3,1,Penei Sewell,Oregon,OT,Miami (Trade),+1,35,2021-02-10,Oregon
4,1,Patrick Surtain II,Alabama,CB,Atlanta,-2,35,2021-02-10,Alabama
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2021-02-10,Louisiana
6,1,DeVonta Smith,Alabama,WR,Philadelphia,-5,35,2021-02-10,Alabama
7,1,Justin Fields,Ohio State,QB,Detroit,+2,35,2021-02-10,Ohio
8,1,Trey Lance,North Dakota State,QB,Carolina,-4,35,2021-02-10,North Dakota
9,1,Micah Parsons,Penn State,ILB,Denver,-1,35,2021-02-10,Pennsylvania
10,1,Caleb Farley,Virginia Tech,CB,Dallas,+2,35,2021-02-10,Virginia
11,1,Kyle Pitts,Florida,TE,NY Giants,+2,30,2021-02-10,Florida
12,1,Rashawn Slater,Northwestern,OT,San Francisco,-2,30,2021-02-10,Illinois
13,1,Gregory Rousseau,Miami (FL),EDGE,LA Chargers,-3,30,2021-02-10,Florida
14,1,Jaylen Waddle,Alabama,WRS,Minnesota,+7,30,2021-02-10,Alabama
15,1,Wyatt Davis,Ohio State,OG,New England,+0,30,2021-02-10,Ohio
16,1,Jaycee Horn,South Carolina,CB,Arizona,+3,30,2021-02-10,South Carolina
17,1,Christian Barmore,Alabama,DL1T,Las Vegas,-2,30,2021-02-10,Alabama
18,1,Kadarius Toney,Florida,WR,Miami,-36,30,2021-02-10,Florida
19,1,Trevon Moehrig,TCU,S,Washington,+2,30,2021-02-10,Texas
20,1,Rashod Bateman,Minnesota,WR,Chicago,-5,30,2021-02-10,Minnesota
21,1,Christian Darrisaw,Virginia Tech,OT,Indianapolis,+3,25,2021-02-10,Virginia
22,1,Kwity Paye,Michigan,EDGE,Tennessee,+1,25,2021-02-10,Michigan
23,1,Asante Samuel Jr.,Florida State,CB,NY Jets (Trade),+0,25,2021-02-10,Florida
24,1,Samuel Cosmi,Texas,OT,Pittsburgh,+0,25,2021-02-10,Texas
25,1,Rondale Moore,Purdue,WRS,Jacksonville (Trade),+5,25,2021-02-10,Indiana
26,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Cleveland,+4,25,2021-02-10,Indiana
27,1,Azeez Ojulari,Georgia,EDGE,Baltimore,-3,25,2021-02-10,Georgia
28,1,Mac Jones,Alabama,QB,New Orleans,+1,25,2021-02-10,Alabama
29,1,Alijah Vera-Tucker,USC,OG,Green Bay,-3,25,2021-02-10,California
30,1,Zaven Collins,Tulsa,OLB,Buffalo,-6,25,2021-02-10,Oklahoma
31,1,Alex Leatherwood,Alabama,OT,Kansas City,-7,25,2021-02-10,Alabama
32,1,Daviyon Nixon,Iowa,DL3T,Tampa Bay,+4,25,2021-02-10,Iowa
33,2,Jay Tufele,USC,DL3T,Jacksonville,-9,20,2021-02-10,California
34,2,Joseph Ossai,Texas,EDGE,NY Jets,-3,20,2021-02-10,Texas
35,2,Najee Harris,Alabama,RB,Atlanta,+2,20,2021-02-10,Alabama
36,2,Richie Grant,UCF,S,Miami (Trade),+7,20,2021-02-10,Florida
37,2,Jayson Oweh,Penn State,EDGE,Philadelphia,-11,20,2021-02-10,Pennsylvania
38,2,Jalen Mayfield,Michigan,OT,Cincinnati,-6,20,2021-02-10,Michigan
39,2,Tyson Campbell,Georgia,CB,Carolina,-2,20,2021-02-10,Georgia
40,2,Travis Etienne,Clemson,RB,Denver,+14,20,2021-02-10,South Carolina
41,2,Terrace Marshall,LSU,WR,Detroit,+6,20,2021-02-10,Louisiana
42,2,Tylan Wallace,Oklahoma State,WR,NY Giants,-8,20,2021-02-10,Oklahoma
43,2,Greg Newsome II,Northwestern,CB,San Francisco,-6,20,2021-02-10,Illinois
44,2,Carlos Basham Jr.,Wake Forest,EDGE,Dallas,-16,20,2021-02-10,North Carolina
45,2,Jackson Carman,Clemson,OT,Jacksonville (Trade),-26,20,2021-02-10,South Carolina
46,2,Alim McNeill,NC State,DL3T,New England,-16,20,2021-02-10,North Carolina
47,2,Trey Smith,Tennessee,OG,LA Chargers,+8,20,2021-02-10,Tennessee
48,2,Jaelan Phillips,Miami (FL),EDGE,Las Vegas,-16,20,2021-02-10,Florida
49,2,Pat Freiermuth,Penn State,TE,Arizona,+2,15,2021-02-10,Pennsylvania
50,2,Marvin Wilson,Florida State,DL1T,Miami,+5,15,2021-02-10,Florida
51,2,Nick Bolton,Missouri,ILB,Washington,+20,15,2021-02-10,Missouri
52,2,Kyle Trask,Florida,QB,Chicago,+18,15,2021-02-10,Florida
53,2,Dylan Moses,Alabama,OLB,Tennessee,+7,15,2021-02-10,Alabama
54,2,Ben Cleveland,Georgia,OG,Indianapolis,-3,15,2021-02-10,Georgia
55,2,Creed Humphrey,Oklahoma,OC,Pittsburgh,+15,15,2021-02-10,Oklahoma
56,2,Elijah Molden,Washington,CB,Seattle,+1,15,2021-02-10,Washington
57,2,Liam Eichenberg,Notre Dame,OT,LA Rams,-20,15,2021-02-10,Indiana
58,2,Landon Dickerson,Alabama,OC,Baltimore,-1,15,2021-02-10,Alabama
59,2,Jevon Holland,Oregon,S,Cleveland,+1,15,2021-02-10,Oregon
60,2,Andre Cisco,Syracuse,S,New Orleans,+17,15,2021-02-10,New York
61,2,Ifeatu Melifonwu,Syracuse,CB,Buffalo,-12,15,2021-02-10,New York
62,2,Shakur Brown,Michigan State,CB,Green Bay,+1,15,2021-02-10,Michigan
63,2,Deonte Brown,Alabama,OG,Kansas City,-23,15,2021-02-10,Alabama
64,2,Jabril Cox,LSU,OLB,Tampa Bay,+12,15,2021-02-10,Louisiana
65,3,Tyler Shelvin,LSU,DL1T,Jacksonville,+12,10,2021-02-10,Louisiana
66,3,Kenneth Gainwell,Memphis,RB,NY Jets,+0,10,2021-02-10,Tennessee
67,3,Amon-Ra St. Brown,USC,WR,Houston,-1,10,2021-02-10,California
68,3,Hamsah Nasirildeen,Florida State,S,Atlanta,+5,10,2021-02-10,Florida
69,3,Javonte Williams,North Carolina,RB,Philadelphia,-10,10,2021-02-10,North Carolina
70,3,Jaylen Twyman,Pitt,DL5T,Cincinnati,+10,10,2021-02-10,Pennsylvania
71,3,Shaun Wade,Ohio State,CB,Denver,+6,10,2021-02-10,Ohio
72,3,Patrick Jones II,Pitt,EDGE,Detroit,+5,10,2021-02-10,Pennsylvania
73,3,Dillon Radunz,North Dakota State,OT,Carolina,-11,10,2021-02-10,North Dakota
74,3,Cameron McGrone,Michigan,OLB,Washington (Trade),+5,10,2021-02-10,Michigan
75,3,Talanoa Hufanga,USC,S,Dallas,+1,10,2021-02-10,California
76,3,Joe Tryon,Washington,EDGE,NY Giants,+4,10,2021-02-10,Washington
77,3,Walker Little,Stanford,OT,LA Chargers,-10,10,2021-02-10,California
78,3,Teven Jenkins,Oklahoma State,OT,Minnesota,-18,10,2021-02-10,Oklahoma
79,3,Trey Sermon,Ohio State,RB,Arizona,+1,10,2021-02-10,Ohio
80,3,Levi Onwuzurike,Washington,DL3T,Las Vegas,-3,10,2021-02-10,Washington
81,3,Josh Myers,Ohio State,OC,Miami,+5,10,2021-02-10,Ohio
82,3,Marlon Williams,UCF,WR,Washington,+2,10,2021-02-10,Florida
83,3,Paris Ford,Pitt,S,Chicago,+1,10,2021-02-10,Pennsylvania
84,3,Jamie Newman,Georgia,QB,Indianapolis,-9,10,2021-02-10,Georgia
85,3,Anthony Schwartz,Auburn,WR,Tennessee,-7,10,2021-02-10,Alabama
86,3,Brevin Jordan,Miami (FL),TE,NY Jets (Trade),+1,10,2021-02-10,Florida
87,3,Chazz Surratt,North Carolina,OLB,Pittsburgh,+12,10,2021-02-10,North Carolina
88,3,Darius Stills,West Virginia,DL5T,Detroit (Trade),+18,10,2021-02-10,West Virginia
89,3,Hamilcar Rashed,Oregon State,EDGE,Cleveland,+1,10,2021-02-10,Oregon
90,3,Quinn Meinerz,UW–Whitewater,OC,Minnesota (Trade),-40,10,2021-02-10,Wisconsin
91,3,Dyami Brown,North Carolina,WR,Cleveland (Trade),-4,10,2021-02-10,North Carolina
92,3,Michael Carter,North Carolina,RBC,Green Bay,+11,10,2021-02-10,North Carolina
93,3,Quincy Roche,Miami (FL),EDGE,Buffalo,+2,10,2021-02-10,Florida
94,3,Hunter Long,Boston College,TE,Kansas City,-17,10,2021-02-10,Massachusetts
95,3,Ronnie Perkins,Oklahoma,EDGE,Tampa Bay,-5,10,2021-02-10,Oklahoma
96,3,Chuba Hubbard,Oklahoma State,RB,Jacksonville,+7,10,2021-02-10,Oklahoma
97,3,Seth Williams,Auburn,WR,NY Jets,+0,10,2021-02-10,Alabama
98,3,Rashad Weaver,Pitt,EDGE,Atlanta,-18,10,2021-02-10,Pennsylvania
99,3,Kenny Yeboah,Ole Miss,TE,Houston,-13,10,2021-02-10,Mississippi
100,3,Baron Browning,Ohio State,ILB,Cleveland (Trade),+1,10,2021-02-10,Ohio
101,3,Paulson Adebo,Stanford,CB,Cincinnati,-1,10,2021-02-10,California
102,3,Elijah Moore,Ole Miss,WRS,Detroit,+46,10,2021-02-10,Mississippi
103,3,Tony Poljan,Virginia,TE,Carolina,-19,10,2021-02-10,Virginia
104,4,Richard LeCounte III,Georgia,S,Denver,+1,8,2021-02-10,Georgia
105,4,Aaron Robinson,UCF,CB,Dallas,+0,8,2021-02-10,Florida
106,4,Drake Jackson,Kentucky,OC,NY Giants,-1,8,2021-02-10,Kentucky
107,4,Trey Hill,Georgia,OC,San Francisco,-16,8,2021-02-10,Georgia
108,4,Israel Mukuamu,South Carolina,CB,LA Chargers,-2,8,2021-02-10,South Carolina
109,4,Dayo Odeyingbo,Vanderbilt,DL5T,Minnesota,+0,8,2021-02-10,Tennessee
110,4,Jimmy Morrissey,Pitt,OC,New England,-59,8,2021-02-10,Pennsylvania
111,4,Dazz Newsome,North Carolina,WR,Las Vegas (Trade),+10,8,2021-02-10,North Carolina
112,4,Aaron Banks,Notre Dame,OG,Houston (Trade),-7,8,2021-02-10,Indiana
113,4,Jaret Patterson,Buffalo,RB,Miami,+7,8,2021-02-10,New York
114,4,Kellen Mond,Texas A&M,QB,Washington,-31,8,2021-02-10,Texas
115,4,Marlon Tuipulotu,USC,DL3T,Minnesota (Trade),+2,8,2021-02-10,California
116,4,Eric Stokes,Georgia,CB,Tennessee,-1,8,2021-02-10,Georgia
117,4,D'Wayne Eskridge,Western Michigan,WRS,Indianapolis,+27,8,2021-02-10,Michigan
118,4,Kylin Hill,Mississippi State,RB,Pittsburgh,-8,8,2021-02-10,Mississippi
119,4,Spencer K. Brown,Northern Iowa,OT,Seattle,-31,8,2021-02-10,Iowa
120,4,Cary Angeline,NC State,TE,Jacksonville (Trade),-4,8,2021-02-10,North Carolina
121,4,Damonte Coxie,Memphis,WR,Baltimore,+17,8,2021-02-10,Tennessee
